Metric,Measurement,Rank Order,Label,Salary,Job Title,Level,Country,URL
Summary,Percentile,,75th,101000,Customer Service,All,Australia,https://www.levels.fyi/en-gb/t/customer-service/locations/australia
Summary,Percentile,,90th,164000,Customer Service,All,Australia,https://www.levels.fyi/en-gb/t/customer-service/locations/australia
Top Company,Ranking,1,Atlassian,162423,Customer Service,All,Australia,https://www.levels.fyi/en-gb/t/customer-service/locations/australia
Top Company,Ranking,2,NAB,66426,Customer Service,All,Australia,https://www.levels.fyi/en-gb/t/customer-service/locations/australia
Top Company,Ranking,3,Woolworths Supermarkets,51461,Customer Service,All,Australia,https://www.levels.fyi/en-gb/t/customer-service/locations/australia
Summary,Percentile,,Median,148433,Product Designer,All,Australia,https://www.levels.fyi/en-gb/t/product-designer/locations/australia
Summary,Percentile,,25th,123000,Product Designer,All,Australia,https://www.levels.fyi/en-gb/t/product-designer/locations/australia
Summary,Percentile,,75th,181000,Product Designer,All,Australia,https://www.levels.fyi/en-gb/t/product-designer/locations/australia
Summary,Percentile,,90th,203000,Product Designer,All,Australia,https://www.levels.fyi/en-gb/t/product-designer/locations/australia
Top Company,Ranking,1,Atlassian,254974,Product Designer,All,Australia,https://www.levels.fyi/en-gb/t/product-designer/locations/australia
Top Company,Ranking,2,Google,188116,Product Designer,All,Australia,https://www.levels.fyi/en-gb/t/product-designer/locations/australia
Top Company,Ranking,3,Canva,182049,Product Designer,All,Australia,https://www.levels.fyi/en-gb/t/product-designer/locations/australia
Top Location,Ranking,1,Brisbane,186199,Product Designer,All,Australia,https://www.levels.fyi/en-gb/t/product-designer/locations/australia
Top Location,Ranking,2,Melbourne,147440,Product Designer,All,Australia,https://www.levels.fyi/en-gb/t/product-designer/locations/australia
Top Location,Ranking,3,Sydney,126853,Product Designer,All,Australia,https://www.levels.fyi/en-gb/t/product-designer/locations/australia
Summary,Percentile,,Median,86728,Product Designer,Entry-Level,Australia,https://www.levels.fyi/en-gb/t/product-designer/levels/entry-level/locations/australia
Summary,Percentile,,25th,79000,Product Designer,Entry-Level,Australia,https://www.levels.fyi/en-gb/t/product-designer/levels/entry-level/locations/australia
Summary,Percentile,,75th,99,Product Designer,Entry-Level,Australia,https://www.levels.fyi/en-gb/t/product-designer/levels/entry-level/locations/australia
Summary,Percentile,,90th,122000,Product Designer,Entry-Level,Australia,https://www.levels.fyi/en-gb/t/product-designer/levels/entry-level/locations/australia
Top Company,Ranking,1,Atlassian,254974,Product Designer,Entry-Level,Australia,https://www.levels.fyi/en-gb/t/product-designer/levels/entry-level/locations/australia
Top Company,Ranking,2,Google,188116,Product Designer,Entry-Level,Australia,https://www.levels.fyi/en-gb/t/product-designer/levels/entry-level/locations/australia
Top Company,Ranking,3,Canva,182049,Product Designer,Entry-Level,Australia,https://www.levels.fyi/en-gb/t/product-designer/levels/entry-level/locations/australia
Top Location,Ranking,1,Brisbane,186199,Product Designer,Entry-Level,Australia,https://www.levels.fyi/en-gb/t/product-designer/levels/entry-level/locations/australia
Top Location,Ranking,2,Melbourne,147440,Product Designer,Entry-Level,Australia,https://www.levels.fyi/en-gb/t/product-designer/levels/entry-level/locations/australia
Top Location,Ranking,3,Sydney,126853,Product Designer,Entry-Level,Australia,https://www.levels.fyi/en-gb/t/product-designer/levels/entry-level/locations/australia
Summary,Percentile,,Median,161185,Product Designer,Senior,Australia,https://www.levels.fyi/en-gb/t/product-designer/levels/senior/locations/australia
Summary,Percentile,,25th,147000,Product Designer,Senior,Australia,https://www.levels.fyi/en-gb/t/product-designer/levels/senior/locations/australia
Summary,Percentile,,75th,199000,Product Designer,Senior,Australia,https://www.levels.fyi/en-gb/t/product-designer/levels/senior/locations/australia
Summary,Percentile,,90th,222000,Product Designer,Senior,Australia,https://www.levels.fyi/en-gb/t/product-designer/levels/senior/locations/australia
Top Company,Ranking,1,Atlassian,254974,Product Designer,Senior,Australia,https://www.levels.fyi/en-gb/t/product-designer/levels/senior/locations/australia
Top Company,Ranking,2,Google,188116,Product Designer,Senior,Australia,https://www.levels.fyi/en-gb/t/product-designer/levels/senior/locations/australia
Top Company,Ranking,3,Canva,182049,Product Designer,Senior,Australia,https://www.levels.fyi/en-gb/t/product-designer/levels/senior/locations/australia
Top Location,Ranking,1,Brisbane,186199,Product Designer,Senior,Australia,https://www.levels.fyi/en-gb/t/product-designer/levels/senior/locations/australia
Top Location,Ranking,2,Melbourne,147440,Product Designer,Senior,Australia,https://www.levels.fyi/en-gb/t/product-designer/levels/senior/locations/australia
Top Location,Ranking,3,Sydney,126853,Product Designer,Senior,Australia,https://www.levels.fyi/en-gb/t/product-designer/levels/senior/locations/australia
Summary,Percentile,,Median,137719,Ux Researcher,All,Australia,https://www.levels.fyi/en-gb/t/ux-researcher/locations/australia
Summary,Percentile,,25th,104000,Ux Researcher,All,Australia,https://www.levels.fyi/en-gb/t/ux-researcher/locations/australia
Summary,Percentile,,75th,218000,Ux Researcher,All,Australia,https://www.levels.fyi/en-gb/t/ux-researcher/locations/australia
Summary,Percentile,,90th,298000,Ux Researcher,All,Australia,https://www.levels.fyi/en-gb/t/ux-researcher/locations/australia
Summary,Percentile,,Median,155654,Ux Researcher,Senior,Australia,https://www.levels.fyi/en-gb/t/ux-researcher/levels/senior/locations/australia
Summary,Percentile,,Median,149607,Recruiter,All,Australia,https://www.levels.fyi/en-gb/t/recruiter/locations/australia
Summary,Percentile,,25th,146000,Recruiter,All,Australia,https://www.levels.fyi/en-gb/t/recruiter/locations/australia
Summary,Percentile,,75th,165000,Recruiter,All,Australia,https://www.levels.fyi/en-gb/t/recruiter/locations/australia
Summary,Percentile,,90th,200000,Recruiter,All,Australia,https://www.levels.fyi/en-gb/t/recruiter/locations/australia
Summary,Percentile,,Median,149607,Recruiter,Senior,Australia,https://www.levels.fyi/en-gb/t/recruiter/levels/senior/locations/australia
Summary,Percentile,,25th,146000,Recruiter,Senior,Australia,https://www.levels.fyi/en-gb/t/recruiter/levels/senior/locations/australia
Summary,Percentile,,75th,165000,Recruiter,Senior,Australia,https://www.levels.fyi/en-gb/t/recruiter/levels/senior/locations/australia
Summary,Percentile,,90th,200000,Recruiter,Senior,Australia,https://www.levels.fyi/en-gb/t/recruiter/levels/senior/locations/australia
Summary,Percentile,,Median,244163,Business Development,All,Australia,https://www.levels.fyi/en-gb/t/business-development/locations/australia
Summary,Percentile,,25th,155000,Business Development,All,Australia,https://www.levels.fyi/en-gb/t/business-development/locations/australia
Summary,Percentile,,75th,323000,Business Development,All,Australia,https://www.levels.fyi/en-gb/t/business-development/locations/australia
Summary,Percentile,,90th,376000,Business Development,All,Australia,https://www.levels.fyi/en-gb/t/business-development/locations/australia
Summary,Percentile,,Median,77163,Business Development,Entry-Level,Australia,https://www.levels.fyi/en-gb/t/business-development/levels/entry-level/locations/australia
Summary,Percentile,,Median,298054,Business Development,Senior,Australia,https://www.levels.fyi/en-gb/t/business-development/levels/senior/locations/australia
Summary,Percentile,,25th,167000,Business Development,Senior,Australia,https://www.levels.fyi/en-gb/t/business-development/levels/senior/locations/australia
Summary,Percentile,,75th,333000,Business Development,Senior,Australia,https://www.levels.fyi/en-gb/t/business-development/levels/senior/locations/australia
Summary,Percentile,,90th,376000,Business Development,Senior,Australia,https://www.levels.fyi/en-gb/t/business-development/levels/senior/locations/australia
Summary,Percentile,,Median,119283,Data Analyst,All,Australia,https://www.levels.fyi/en-gb/t/data-analyst/locations/australia
