,Metric,Measurement,Rank Order,Label,Salary,Job Title,Level,Country,URL,Source URL,Source Name,Source Description
361,Top Company,Ranking,1.0,Amazon,296362,Solution Architect,Entry-Level,Australia,https://www.levels.fyi/en-gb/t/solution-architect/levels/entry-level/locations/australia,levels.fyi,Levels.FYI,Self-reported data of tech workers in tech companies.
362,Top Company,Ranking,2.0,Microsoft,237975,Solution Architect,Entry-Level,Australia,https://www.levels.fyi/en-gb/t/solution-architect/levels/entry-level/locations/australia,levels.fyi,Levels.FYI,Self-reported data of tech workers in tech companies.
363,Top Company,Ranking,3.0,Telstra,206649,Solution Architect,Entry-Level,Australia,https://www.levels.fyi/en-gb/t/solution-architect/levels/entry-level/locations/australia,levels.fyi,Levels.FYI,Self-reported data of tech workers in tech companies.
371,Top Company,Ranking,1.0,Amazon,296362,Solution Architect,Senior,Australia,https://www.levels.fyi/en-gb/t/solution-architect/levels/senior/locations/australia,levels.fyi,Levels.FYI,Self-reported data of tech workers in tech companies.
372,Top Company,Ranking,2.0,Microsoft,237975,Solution Architect,Senior,Australia,https://www.levels.fyi/en-gb/t/solution-architect/levels/senior/locations/australia,levels.fyi,Levels.FYI,Self-reported data of tech workers in tech companies.
373,Top Company,Ranking,3.0,Telstra,206649,Solution Architect,Senior,Australia,https://www.levels.fyi/en-gb/t/solution-architect/levels/senior/locations/australia,levels.fyi,Levels.FYI,Self-reported data of tech workers in tech companies.
381,Top Company,Ranking,1.0,Amazon,194558,Business Analyst,All,Australia,https://www.levels.fyi/en-gb/t/business-analyst/locations/australia,levels.fyi,Levels.FYI,Self-reported data of tech workers in tech companies.
382,Top Company,Ranking,2.0,NAB,127933,Business Analyst,All,Australia,https://www.levels.fyi/en-gb/t/business-analyst/locations/australia,levels.fyi,Levels.FYI,Self-reported data of tech workers in tech companies.
383,Top Company,Ranking,3.0,Kearney,123575,Business Analyst,All,Australia,https://www.levels.fyi/en-gb/t/business-analyst/locations/australia,levels.fyi,Levels.FYI,Self-reported data of tech workers in tech companies.
391,Top Company,Ranking,1.0,Amazon,194558,Business Analyst,Entry-Level,Australia,https://www.levels.fyi/en-gb/t/business-analyst/levels/entry-level/locations/australia,levels.fyi,Levels.FYI,Self-reported data of tech workers in tech companies.
392,Top Company,Ranking,2.0,NAB,127933,Business Analyst,Entry-Level,Australia,https://www.levels.fyi/en-gb/t/business-analyst/levels/entry-level/locations/australia,levels.fyi,Levels.FYI,Self-reported data of tech workers in tech companies.
393,Top Company,Ranking,3.0,Kearney,123575,Business Analyst,Entry-Level,Australia,https://www.levels.fyi/en-gb/t/business-analyst/levels/entry-level/locations/australia,levels.fyi,Levels.FYI,Self-reported data of tech workers in tech companies.
401,Top Company,Ranking,1.0,Amazon,194558,Business Analyst,Senior,Australia,https://www.levels.fyi/en-gb/t/business-analyst/levels/senior/locations/australia,levels.fyi,Levels.FYI,Self-reported data of tech workers in tech companies.
402,Top Company,Ranking,2.0,NAB,127933,Business Analyst,Senior,Australia,https://www.levels.fyi/en-gb/t/business-analyst/levels/senior/locations/australia,levels.fyi,Levels.FYI,Self-reported data of tech workers in tech companies.
403,Top Company,Ranking,3.0,Kearney,123575,Business Analyst,Senior,Australia,https://www.levels.fyi/en-gb/t/business-analyst/levels/senior/locations/australia,levels.fyi,Levels.FYI,Self-reported data of tech workers in tech companies.
420,Top Company,Ranking,1.0,Deloitte,114523,Management Consultant,All,Australia,https://www.levels.fyi/en-gb/t/management-consultant/locations/australia,levels.fyi,Levels.FYI,Self-reported data of tech workers in tech companies.
421,Top Company,Ranking,2.0,Simon-Kucher,111970,Management Consultant,All,Australia,https://www.levels.fyi/en-gb/t/management-consultant/locations/australia,levels.fyi,Levels.FYI,Self-reported data of tech workers in tech companies.
422,Top Company,Ranking,3.0,Accenture,111281,Management Consultant,All,Australia,https://www.levels.fyi/en-gb/t/management-consultant/locations/australia,levels.fyi,Levels.FYI,Self-reported data of tech workers in tech companies.
430,Top Company,Ranking,1.0,Deloitte,114523,Management Consultant,Entry-Level,Australia,https://www.levels.fyi/en-gb/t/management-consultant/levels/entry-level/locations/australia,levels.fyi,Levels.FYI,Self-reported data of tech workers in tech companies.
431,Top Company,Ranking,2.0,Simon-Kucher,111970,Management Consultant,Entry-Level,Australia,https://www.levels.fyi/en-gb/t/management-consultant/levels/entry-level/locations/australia,levels.fyi,Levels.FYI,Self-reported data of tech workers in tech companies.
432,Top Company,Ranking,3.0,Accenture,111281,Management Consultant,Entry-Level,Australia,https://www.levels.fyi/en-gb/t/management-consultant/levels/entry-level/locations/australia,levels.fyi,Levels.FYI,Self-reported data of tech workers in tech companies.
440,Top Company,Ranking,1.0,Deloitte,114523,Management Consultant,Senior,Australia,https://www.levels.fyi/en-gb/t/management-consultant/levels/senior/locations/australia,levels.fyi,Levels.FYI,Self-reported data of tech workers in tech companies.
441,Top Company,Ranking,2.0,Simon-Kucher,111970,Management Consultant,Senior,Australia,https://www.levels.fyi/en-gb/t/management-consultant/levels/senior/locations/australia,levels.fyi,Levels.FYI,Self-reported data of tech workers in tech companies.
442,Top Company,Ranking,3.0,Accenture,111281,Management Consultant,Senior,Australia,https://www.levels.fyi/en-gb/t/management-consultant/levels/senior/locations/australia,levels.fyi,Levels.FYI,Self-reported data of tech workers in tech companies.
464,Top Company,Ranking,1.0,Atlassian,269338,Data Scientist,All,Australia,https://www.levels.fyi/en-gb/t/data-scientist/locations/australia,levels.fyi,Levels.FYI,Self-reported data of tech workers in tech companies.
465,Top Company,Ranking,2.0,Westpac,181433,Data Scientist,All,Australia,https://www.levels.fyi/en-gb/t/data-scientist/locations/australia,levels.fyi,Levels.FYI,Self-reported data of tech workers in tech companies.
466,Top Company,Ranking,3.0,Canva,166374,Data Scientist,All,Australia,https://www.levels.fyi/en-gb/t/data-scientist/locations/australia,levels.fyi,Levels.FYI,Self-reported data of tech workers in tech companies.
474,Top Company,Ranking,1.0,Atlassian,269338,Data Scientist,Entry-Level,Australia,https://www.levels.fyi/en-gb/t/data-scientist/levels/entry-level/locations/australia,levels.fyi,Levels.FYI,Self-reported data of tech workers in tech companies.
475,Top Company,Ranking,2.0,Westpac,181433,Data Scientist,Entry-Level,Australia,https://www.levels.fyi/en-gb/t/data-scientist/levels/entry-level/locations/australia,levels.fyi,Levels.FYI,Self-reported data of tech workers in tech companies.
476,Top Company,Ranking,3.0,Canva,166374,Data Scientist,Entry-Level,Australia,https://www.levels.fyi/en-gb/t/data-scientist/levels/entry-level/locations/australia,levels.fyi,Levels.FYI,Self-reported data of tech workers in tech companies.
484,Top Company,Ranking,1.0,Atlassian,269338,Data Scientist,Senior,Australia,https://www.levels.fyi/en-gb/t/data-scientist/levels/senior/locations/australia,levels.fyi,Levels.FYI,Self-reported data of tech workers in tech companies.
