,Metric,Measurement,Rank Order,Label,Salary,Job Title,Level,Country,URL,Source URL,Source Name,Source Description
266,Summary,Percentile,,Median,162771,Customer Success,All,Australia,https://www.levels.fyi/en-gb/t/customer-success/locations/australia,levels.fyi,Levels.FYI,Self-reported data of tech workers in tech companies.
267,Summary,Percentile,,25th,130000,Customer Success,All,Australia,https://www.levels.fyi/en-gb/t/customer-success/locations/australia,levels.fyi,Levels.FYI,Self-reported data of tech workers in tech companies.
268,Summary,Percentile,,75th,292000,Customer Success,All,Australia,https://www.levels.fyi/en-gb/t/customer-success/locations/australia,levels.fyi,Levels.FYI,Self-reported data of tech workers in tech companies.
269,Summary,Percentile,,90th,303000,Customer Success,All,Australia,https://www.levels.fyi/en-gb/t/customer-success/locations/australia,levels.fyi,Levels.FYI,Self-reported data of tech workers in tech companies.
270,Summary,Percentile,,Median,183146,Customer Success,Senior,Australia,https://www.levels.fyi/en-gb/t/customer-success/levels/senior/locations/australia,levels.fyi,Levels.FYI,Self-reported data of tech workers in tech companies.
271,Summary,Percentile,,25th,137000,Customer Success,Senior,Australia,https://www.levels.fyi/en-gb/t/customer-success/levels/senior/locations/australia,levels.fyi,Levels.FYI,Self-reported data of tech workers in tech companies.
272,Summary,Percentile,,75th,303000,Customer Success,Senior,Australia,https://www.levels.fyi/en-gb/t/customer-success/levels/senior/locations/australia,levels.fyi,Levels.FYI,Self-reported data of tech workers in tech companies.
273,Summary,Percentile,,90th,309000,Customer Success,Senior,Australia,https://www.levels.fyi/en-gb/t/customer-success/levels/senior/locations/australia,levels.fyi,Levels.FYI,Self-reported data of tech workers in tech companies.
274,Summary,Percentile,,Median,152426,People Ops,All,Australia,https://www.levels.fyi/en-gb/t/people-ops/locations/australia,levels.fyi,Levels.FYI,Self-reported data of tech workers in tech companies.
275,Summary,Percentile,,25th,99000,People Ops,All,Australia,https://www.levels.fyi/en-gb/t/people-ops/locations/australia,levels.fyi,Levels.FYI,Self-reported data of tech workers in tech companies.
276,Summary,Percentile,,75th,175000,People Ops,All,Australia,https://www.levels.fyi/en-gb/t/people-ops/locations/australia,levels.fyi,Levels.FYI,Self-reported data of tech workers in tech companies.
277,Summary,Percentile,,90th,276000,People Ops,All,Australia,https://www.levels.fyi/en-gb/t/people-ops/locations/australia,levels.fyi,Levels.FYI,Self-reported data of tech workers in tech companies.
278,Summary,Percentile,,Median,164448,People Ops,Senior,Australia,https://www.levels.fyi/en-gb/t/people-ops/levels/senior/locations/australia,levels.fyi,Levels.FYI,Self-reported data of tech workers in tech companies.
279,Summary,Percentile,,Median,116786,Mechanical Engineer,All,Australia,https://www.levels.fyi/en-gb/t/mechanical-engineer/locations/australia,levels.fyi,Levels.FYI,Self-reported data of tech workers in tech companies.
280,Summary,Percentile,,25th,91000,Mechanical Engineer,All,Australia,https://www.levels.fyi/en-gb/t/mechanical-engineer/locations/australia,levels.fyi,Levels.FYI,Self-reported data of tech workers in tech companies.
281,Summary,Percentile,,75th,137000,Mechanical Engineer,All,Australia,https://www.levels.fyi/en-gb/t/mechanical-engineer/locations/australia,levels.fyi,Levels.FYI,Self-reported data of tech workers in tech companies.
282,Summary,Percentile,,90th,187000,Mechanical Engineer,All,Australia,https://www.levels.fyi/en-gb/t/mechanical-engineer/locations/australia,levels.fyi,Levels.FYI,Self-reported data of tech workers in tech companies.
286,Summary,Percentile,,Median,74861,Mechanical Engineer,Entry-Level,Australia,https://www.levels.fyi/en-gb/t/mechanical-engineer/levels/entry-level/locations/australia,levels.fyi,Levels.FYI,Self-reported data of tech workers in tech companies.
