,Metric,Measurement,Rank Order,Label,Salary,Job Title,Level,Country,URL,Source URL,Source Name,Source Description
467,Top Location,Ranking,1.0,Melbourne,172940,Data Scientist,All,Australia,https://www.levels.fyi/en-gb/t/data-scientist/locations/australia,levels.fyi,Levels.FYI,Self-reported data of tech workers in tech companies.
468,Top Location,Ranking,2.0,Sydney,160884,Data Scientist,All,Australia,https://www.levels.fyi/en-gb/t/data-scientist/locations/australia,levels.fyi,Levels.FYI,Self-reported data of tech workers in tech companies.
469,Top Location,Ranking,3.0,Perth,124841,Data Scientist,All,Australia,https://www.levels.fyi/en-gb/t/data-scientist/locations/australia,levels.fyi,Levels.FYI,Self-reported data of tech workers in tech companies.
477,Top Location,Ranking,1.0,Melbourne,172940,Data Scientist,Entry-Level,Australia,https://www.levels.fyi/en-gb/t/data-scientist/levels/entry-level/locations/australia,levels.fyi,Levels.FYI,Self-reported data of tech workers in tech companies.
478,Top Location,Ranking,2.0,Sydney,160884,Data Scientist,Entry-Level,Australia,https://www.levels.fyi/en-gb/t/data-scientist/levels/entry-level/locations/australia,levels.fyi,Levels.FYI,Self-reported data of tech workers in tech companies.
479,Top Location,Ranking,3.0,Perth,124841,Data Scientist,Entry-Level,Australia,https://www.levels.fyi/en-gb/t/data-scientist/levels/entry-level/locations/australia,levels.fyi,Levels.FYI,Self-reported data of tech workers in tech companies.
487,Top Location,Ranking,1.0,Melbourne,172940,Data Scientist,Senior,Australia,https://www.levels.fyi/en-gb/t/data-scientist/levels/senior/locations/australia,levels.fyi,Levels.FYI,Self-reported data of tech workers in tech companies.
488,Top Location,Ranking,2.0,Sydney,160884,Data Scientist,Senior,Australia,https://www.levels.fyi/en-gb/t/data-scientist/levels/senior/locations/australia,levels.fyi,Levels.FYI,Self-reported data of tech workers in tech companies.
489,Top Location,Ranking,3.0,Perth,124841,Data Scientist,Senior,Australia,https://www.levels.fyi/en-gb/t/data-scientist/levels/senior/locations/australia,levels.fyi,Levels.FYI,Self-reported data of tech workers in tech companies.
574,Top Location,Ranking,1.0,Sydney,237368,Software Engineering Manager,All,Australia,https://www.levels.fyi/en-gb/t/software-engineering-manager/locations/australia,levels.fyi,Levels.FYI,Self-reported data of tech workers in tech companies.
575,Top Location,Ranking,2.0,Melbourne,215215,Software Engineering Manager,All,Australia,https://www.levels.fyi/en-gb/t/software-engineering-manager/locations/australia,levels.fyi,Levels.FYI,Self-reported data of tech workers in tech companies.
576,Top Location,Ranking,3.0,Brisbane,193700,Software Engineering Manager,All,Australia,https://www.levels.fyi/en-gb/t/software-engineering-manager/locations/australia,levels.fyi,Levels.FYI,Self-reported data of tech workers in tech companies.
